"","trial","choicesA","choicesB","winA","winB","rateA","learningRate","noise","initRateA","cumulativeRateA","cumulativeRateB","cumulativeWinA","cumulativeWinB","agent_id"
"1",1,0,0,1,0,0.5,0.206159383291379,0,0.5,0,0,1,0,1
"2",2,0,1,0,1,0.396920308354311,0.206159383291379,0,0.5,0,0.5,0.5,0.5,1
"3",3,1,0,0,1,0.521250845659541,0.206159383291379,0,0.5,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,1
"4",4,1,1,1,0,0.41379009277826,0.206159383291379,0,0.5,0.5,0.5,0.5,0.5,1
"5",5,1,1,1,0,0.53464276573039,0.206159383291379,0,0.5,0.6,0.6,0.6,0.4,1
"6",6,1,1,1,0,0.630580526157595,0.206159383291379,0,0.5,0.666666666666667,0.666666666666667,0.666666666666667,0.333333333333333,1
"7",7,1,0,0,1,0.706739817060771,0.206159383291379,0,0.5,0.714285714285714,0.571428571428571,0.571428571428571,0.428571428571429,1
"8",8,1,1,1,0,0.56103877222806,0.206159383291379,0,0.5,0.75,0.625,0.625,0.375,1
"9",9,0,1,0,1,0.65153474823435,0.206159383291379,0,0.5,0.666666666666667,0.666666666666667,0.555555555555556,0.444444444444444,1
"10",10,0,1,0,1,0.723374129636831,0.206159383291379,0,0.5,0.6,0.7,0.5,0.5,1
"11",11,1,1,1,0,0.780403148473343,0.206159383291379,0,0.5,0.636363636363636,0.727272727272727,0.545454545454545,0.454545454545455,1
"12",12,1,0,0,1,0.825675099956807,0.206159383291379,0,0.5,0.666666666666667,0.666666666666667,0.5,0.5,1
"13",13,0,1,0,1,0.655454430550664,0.206159383291379,0,0.5,0.615384615384615,0.692307692307692,0.461538461538462,0.538461538461538,1
"14",14,1,1,1,0,0.726485732664116,0.206159383291379,0,0.5,0.642857142857143,0.714285714285714,0.5,0.5,1
"15",15,0,1,0,1,0.782873265339475,0.206159383291379,0,0.5,0.6,0.733333333333333,0.466666666666667,0.533333333333333,1
"16",16,1,1,1,0,0.82763597905316,0.206159383291379,0,0.5,0.625,0.75,0.5,0.5,1
"17",17,1,1,1,0,0.863170439313183,0.206159383291379,0,0.5,0.647058823529412,0.764705882352941,0.529411764705882,0.470588235294118,1
"18",18,1,1,1,0,0.891379137160407,0.206159383291379,0,0.5,0.666666666666667,0.777777777777778,0.555555555555556,0.444444444444444,1
"19",19,1,1,1,0,0.913772347255995,0.206159383291379,0,0.5,0.684210526315789,0.789473684210526,0.578947368421053,0.421052631578947,1
"20",20,1,1,1,0,0.931548986968362,0.206159383291379,0,0.5,0.7,0.8,0.6,0.4,1
"21",21,1,1,1,0,0.945660805600635,0.206159383291379,0,0.5,0.714285714285714,0.80952380952381,0.619047619047619,0.380952380952381,1
"22",22,1,1,1,0,0.956863340406558,0.206159383291379,0,0.5,0.727272727272727,0.818181818181818,0.636363636363636,0.363636363636364,1
"23",23,1,1,1,0,0.965756367545592,0.206159383291379,0,0.5,0.739130434782609,0.826086956521739,0.652173913043478,0.347826086956522,1
"24",24,0,1,0,1,0.97281601369405,0.206159383291379,0,0.5,0.708333333333333,0.833333333333333,0.625,0.375,1
"25",25,1,1,1,0,0.978420247546286,0.206159383291379,0,0.5,0.72,0.84,0.64,0.36,1
"26",26,1,1,1,0,0.982869116003724,0.206159383291379,0,0.5,0.730769230769231,0.846153846153846,0.653846153846154,0.346153846153846,1
"27",27,1,1,1,0,0.986400808483632,0.206159383291379,0,0.5,0.740740740740741,0.851851851851852,0.666666666666667,0.333333333333333,1
"28",28,1,1,1,0,0.989204409419908,0.206159383291379,0,0.5,0.75,0.857142857142857,0.678571428571429,0.321428571428571,1
"29",29,1,1,1,0,0.991430021716166,0.206159383291379,0,0.5,0.758620689655172,0.862068965517241,0.689655172413793,0.310344827586207,1
"30",30,1,0,0,1,0.993196803153982,0.206159383291379,0,0.5,0.766666666666667,0.833333333333333,0.666666666666667,0.333333333333333,1
"31",31,1,1,1,0,0.788439962728788,0.206159383291379,0,0.5,0.774193548387097,0.838709677419355,0.67741935483871,0.32258064516129,1
"32",32,1,1,1,0,0.832055049541722,0.206159383291379,0,0.5,0.78125,0.84375,0.6875,0.3125,1
"33",33,1,1,1,0,0.866678476955102,0.206159383291379,0,0.5,0.787878787878788,0.848484848484849,0.696969696969697,0.303030303030303,1
"34",34,1,0,0,1,0.894163959925505,0.206159383291379,0,0.5,0.794117647058823,0.823529411764706,0.676470588235294,0.323529411764706,1
"35",35,0,1,0,1,0.709823669385886,0.206159383291379,0,0.5,0.771428571428571,0.828571428571429,0.657142857142857,0.342857142857143,1
"36",36,1,1,1,0,0.769646242751047,0.206159383291379,0,0.5,0.777777777777778,0.833333333333333,0.666666666666667,0.333333333333333,1
"37",37,0,0,1,0,0.817135831284343,0.206159383291379,0,0.5,0.756756756756757,0.810810810810811,0.675675675675676,0.324324324324324,1
