"condition","subject","session","cycle","trial","test","stimulus","category","response","dangerous","nutricious","correct","cumulative","RT","motivation","competence","communication","complement","mean_correct"
1,1,1,3,72,0,"11000.jpg",1,1,0,0,1,4400,5723,1,1,1.5,1,0.84
1,1,1,3,73,0,"00010.jpg",2,2,0,1,1,4500,5319,1,1,1.5,1,0.88
1,1,1,3,74,0,"11110.jpg",4,4,1,1,1,4600,5435,1,1,1.5,1,0.92
1,1,1,3,75,0,"01001.jpg",1,1,0,0,1,4700,3034,1,1,1.5,1,0.96
1,1,1,3,76,0,"00001.jpg",1,1,0,0,1,4800,5330,1,1,1.5,1,0.88
1,1,1,3,77,0,"01101.jpg",1,1,0,0,1,4900,2829,1,1,1.5,1,0.88
1,1,1,3,78,0,"10001.jpg",1,1,0,0,1,5000,7957,1,1,1.5,1,0.88
1,1,1,3,79,0,"00100.jpg",1,1,0,0,1,5100,6078,1,1,1.5,1,0.88
1,1,1,3,80,0,"11100.jpg",3,3,1,0,1,5200,5030,1,1,1.5,1,0.96
1,1,1,3,81,0,"00111.jpg",2,2,0,1,1,5300,5037,1,1,1.5,1,0.76
1,1,1,3,82,0,"00011.jpg",2,2,0,1,1,5400,3428,1,1,1.5,1,0.96
1,1,1,3,83,0,"11101.jpg",3,3,1,0,1,5500,3563,1,1,1.5,1,0.96
1,1,1,3,84,0,"11000.jpg",1,1,0,0,1,5600,3782,1,1,1.5,1,0.88
1,1,1,3,85,0,"01100.jpg",1,1,0,0,1,5700,2465,1,1,1.5,1,0.84
1,1,1,3,86,0,"10110.jpg",4,4,1,1,1,5800,3423,1,1,1.5,1,0.96
1,1,1,3,87,0,"10000.jpg",1,1,0,0,1,5900,4750,1,1,1.5,1,0.92
1,1,1,3,88,0,"00110.jpg",2,2,0,1,1,6000,3448,1,1,1.5,1,1
1,1,1,3,89,0,"01101.jpg",1,1,0,0,1,6100,4320,1,1,1.5,1,0.88
1,1,1,3,90,0,"10011.jpg",2,2,0,1,1,6200,3380,1,1,1.5,1,0.92
